상품명,키워드
탄력크림 50ml,"탄력, 주름, 보습, 트러블, 피지, 지성"
마이크로미셀라 약산성 딥 클렌징 폼 150g,"트러블, 모공, 건성, 지성, 쫀쫀, 수분, 여드름, 피지, 각질, 예민"
맨 프로 레티놀 올인원 기획세트 120ml,"주름, 보습, 수분, 트러블, 탄력, 지성, 피지, 모공, 산뜻, 건성"
알파인 베리 워터리 수딩젤 크림 75ml,"수분, 트러블, 진정, 지성, 보습, 여드름, 건성, 각질, 피지, 기미, 쫀쫀, 촉촉"
골든 글로우 페이스 오일 40ml,"건성, 수분, 트러블, 보습, 탄력, 주름, 각질, 지성, 모공, 진정, 쫀쫀, 기미"
트리트먼트 엔자임 클렌징 폼 120g,"트러블, 쫀쫀, 각질, 건성, 수분, 모공, 보습, 여드름, 피지, 탄력, 지성, 촉촉, 예민, 진정"
레티놀 앰플 토너 250ml,"보습, 주름, 탄력, 수분, 건성, 트러블, 쫀쫀, 각질, 모공, 여드름, 지성, 촉촉, 피지, 진정"
흰감국 광채 선크림 SPF50+/PA++++ 70ml,"건성, 트러블, 수분, 지성, 탄력, 기미, 잡티, 촉촉, 보습, 모공"
더마UV365 레드진정 톤업 선크림 SPF 50+/ PA++++ 40ML,"트러블, 진정, 여드름, 보습"
훼이셜 요거트 클렌징폼 250g,"트러블, 피지, 쫀쫀, 수분"
옥용팩 120ml,"모공, 피지, 각질, 수분, 탄력, 건성, 주름, 보습, 트러블"
블랙 기초 2종 세트,"보습, 건성, 수분, 트러블, 주름, 탄력, 피지, 촉촉, 지성, 각질"
윤조마스크 5매,"트러블, 진정, 보습, 탄력, 수분, 건성, 피지, 모공, 쫀쫀, 촉촉, 주름"
슈퍼바이탈 에멀젼 150ml,"건성, 보습, 탄력, 수분, 쫀쫀, 주름, 각질, 트러블, 촉촉, 여드름, 지성"
콜라겐 펩타이드 탄력 앰플 크림 50ml,"탄력, 수분, 쫀쫀, 보습, 주름, 트러블, 건성, 모공, 지성, 촉촉"
그린티 히알루론산 글로우 아이&페이스볼 10ml,"지성, 주름, 수분, 트러블, 건성"
